time X Y Z RX RY RZ
0.0 -0.3876 0.37560000000000004 0.5146000000000001 -1.464 -1.11 0.175
0.375 -0.3881 0.3749 0.5141 -1.464 -1.11 0.175
0.703 -0.3886 0.3742 0.5136 -1.464 -1.11 0.175
1.028 -0.3891 0.3735 0.5131 -1.464 -1.11 0.175
1.354 -0.3896 0.3728 0.5126 -1.464 -1.11 0.175
1.682 -0.3901 0.3721 0.5121 -1.464 -1.11 0.175
2.008 -0.3906 0.3714 0.5116 -1.464 -1.11 0.175
2.334 -0.3911 0.3707 0.5111 -1.464 -1.11 0.175
2.671 -0.3916 0.37 0.5106 -1.464 -1.11 0.175
2.998 -0.3921 0.3693 0.5101 -1.464 -1.11 0.175
3.325 -0.3926 0.3686 0.5096 -1.464 -1.11 0.175
3.666 -0.3931 0.3679 0.5091 -1.464 -1.11 0.175
3.992 -0.3936 0.3672 0.5086 -1.464 -1.11 0.175
4.318 -0.3941 0.3665 0.5081 -1.464 -1.11 0.175
4.644 -0.3946 0.3658 0.5076 -1.464 -1.11 0.175
4.973 -0.3951 0.3651 0.5071 -1.464 -1.11 0.175
5.298 -0.3956 0.3644 0.5066 -1.464 -1.11 0.175
5.638 -0.3961 0.3637 0.5061 -1.464 -1.11 0.175
5.964 -0.3966 0.363 0.5056 -1.464 -1.11 0.175
6.29 -0.3971 0.3623 0.5051 -1.464 -1.11 0.175
6.631 -0.3976 0.3616 0.5046 -1.464 -1.11 0.175
6.958 -0.3981 0.3609 0.5041 -1.464 -1.11 0.175
7.283 -0.3986 0.3602 0.5036 -1.464 -1.11 0.175
7.608 -0.3991 0.3595 0.5031 -1.464 -1.11 0.175
7.936 -0.3996 0.3588 0.5026 -1.464 -1.11 0.175
8.261 -0.4001 0.3581 0.5021 -1.464 -1.11 0.175
8.585 -0.4006 0.3574 0.5016 -1.464 -1.11 0.175
8.91 -0.4011 0.3567 0.5011 -1.464 -1.11 0.175
9.238 -0.4016 0.356 0.5006 -1.464 -1.11 0.175
9.579 -0.4021 0.3553 0.5001 -1.464 -1.11 0.175
9.904 -0.4026 0.3546 0.4996 -1.464 -1.11 0.175
10.229 -0.4031 0.3539 0.4991 -1.464 -1.11 0.175
10.555 -0.4036 0.3532 0.4986 -1.464 -1.11 0.175
10.88 -0.4041 0.3525 0.4981 -1.464 -1.11 0.175
11.207 -0.4046 0.3518 0.4976 -1.464 -1.11 0.175
11.532 -0.4051 0.3511 0.4971 -1.464 -1.11 0.175
11.856 -0.4056 0.3504 0.4966 -1.464 -1.11 0.175
12.181 -0.4061 0.3497 0.4961 -1.464 -1.11 0.175
12.507 -0.4066 0.349 0.4956 -1.464 -1.11 0.175
12.832 -0.4071 0.3483 0.4951 -1.464 -1.11 0.175
13.158 -0.4076 0.3476 0.4946 -1.464 -1.11 0.175
13.498 -0.4081 0.3469 0.4941 -1.464 -1.11 0.175
13.839 -0.4086 0.3462 0.4936 -1.464 -1.11 0.175
14.165 -0.4091 0.3455 0.4931 -1.464 -1.11 0.175
14.491 -0.4096 0.3448 0.4926 -1.464 -1.11 0.175
14.816 -0.4101 0.3441 0.4921 -1.464 -1.11 0.175
15.141 -0.4106 0.3434 0.4916 -1.464 -1.11 0.175
15.468 -0.4111 0.3427 0.4911 -1.464 -1.11 0.175
15.794 -0.4116 0.342 0.4906 -1.464 -1.11 0.175
16.12 -0.4121 0.3413 0.4901 -1.464 -1.11 0.175
16.446 -0.4126 0.3406 0.4896 -1.464 -1.11 0.175
16.774 -0.4131 0.3399 0.4891 -1.464 -1.11 0.175
17.1 -0.4136 0.3392 0.4886 -1.464 -1.11 0.175
17.425 -0.4141 0.3385 0.4881 -1.464 -1.11 0.175
17.751 -0.4146 0.3378 0.4876 -1.464 -1.11 0.175
18.077 -0.4151 0.3371 0.4871 -1.464 -1.11 0.175
18.402 -0.4156 0.3364 0.4866 -1.464 -1.11 0.175
